Code,Town_Japanese,Prefecture_Town_Japanese,Prefecture_English,Prefecture_Town_English,Town_English,SP,WP,BP,Redundancy,Diversity,PV_output_2018,Windspeed_2018,PercentForest_cover,PercentEmployment_EGHW_2009,Population_2010,Area_inhabitable_2010,Land_price_residential_2009,ku_LDP_voteshare_2012,Crime_Rate_2008,Income_taxable_per_capita_2010,Unemployment_2010,Financial_Str_Index_2010,PercentChange_CO2_industry_2000_03
01100,???,??? ???,Hokkaido,Hokkaido Sapporo-shi,Sapporo-shi,217,2,1,221,4,1218,6.56,60.40744969,0.252045288,1913545,44058,65000,36.66260942,14.32263156,1256912.955,7.7,69,35.2
01202,???,??? ???,Hokkaido,Hokkaido Hakodate-shi,Hakodate-shi,111,0,0,112,2,1178,7.23,79.69554379,0.243616705,279127,13942,43000,47.53154105,12.57850369,1073621.581,8.3,47,-10.3
01203,???,??? ???,Hokkaido,Hokkaido Otaru-shi,Otaru-shi,24,7,0,31,2,1086,7.74,64.56637896,0.223606816,131928,8058,22200,44.22489192,7.852768177,973634.2096,9.2,46,-28.45
01204,???,??? ???,Hokkaido,Hokkaido Asahikawa-shi,Asahikawa-shi,87,0,0,87,1,1213,5.29,52.78089888,0.234806033,347095,34909,24300,42.94565956,11.09494519,1064822.893,8.1,50,-66.45
01205,???,??? ???,Hokkaido,Hokkaido Muroran-shi,Muroran-shi,253,1,7,262,4,1197,7.25,31.07253565,0.332152113,94535,4326,20000,55.18807542,9.150050246,1160574.94,7.1,65,253.35
01206,???,??? ???,Hokkaido,Hokkaido Kushiro-shi,Kushiro-shi,408,7,8,424,4,1303,6.96,72.65162356,0.311863509,181169,29069,18700,47.23591082,9.019203065,1090614.482,8.9,46,-81.03
01207,???,??? ???,Hokkaido,Hokkaido Obihiro-shi,Obihiro-shi,274,0,0,274,1,1378,5.01,37.59330468,0.207667637,168057,38060,28100,50.99137982,8.937443843,1201272.205,5.8,55,-27.09
01208,???,??? ???,Hokkaido,Hokkaido Kitami-shi,Kitami-shi,408,0,0,408,1,1318,6.13,65.57622797,0.290399319,125689,43102,18100,50.33081885,8.003882599,1096379.262,6.2,46,-31.15
01209,???,??? ???,Hokkaido,Hokkaido Yubari-shi,Yubari-shi,2,0,0,4,2,1152,7.07,85.81498952,0.228895807,10922,9522,4100,,5.85973265,779649.6063,8.8,21,-46.99
01210,????,??? ????,Hokkaido,Hokkaido Iwamizawa-shi,Iwamizawa-shi,47,0,0,47,1,1199,6.09,33.41924756,0.168617228,90145,31880,12000,,11.07105219,1028399.867,7.8,38,-48.02
