Q23_1,Extra,emotstab,Open,consc,Agree,Age,ideo,dideo,educ,race,income,gender,partyid,PartyID,infpp,polcar,businessC,socialC,CivicDuty,Candidate,lovePols,issue,supprty,servePub
I am open to the possibility of holding elective office in the future.,2,1.25,2.142857074737549,2.200000047683716,2.200000047683716,24,Conservative,Conservative,Some College,Black,3,Male,Strong Democrat,Democrat,8,8,10,9,8,8,8,9,7,7
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,1.25,1.428571462631226,1.799999952316284,1.799999952316284,56,Conservative,Conservative,Bachelors Degree,White,2,Male,Republican,Republican,6,2,7,5,7,7,7,9,8,5
,,,,,,,,,,,,,,,,,,,,,,,,
I have absolutely no interest in holding elective office at any time in the future.,.5999999046325684,1.5,1,1.799999952316284,1.400000095367432,54,Moderate,Moderate,High School,White,3,Male,Democrat,Democrat,1,0,0,0,1,1,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,2.5,1.857142925262451,2.599999904632568,1.599999904632568,45,Moderate,Moderate,Graduate Degree,White,5,Male,Independent,Independent,3,1,2,2,2,2,1,4,1,4
,,,,,,,,,,,,,,,,,,,,,,,,
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,2.25,1.714285612106323,1.799999952316284,2,63,Somewhat Conservative,Conservative,High School,White,4,Male,Lean Republican,Independent,5,4,9,2,5,8,2,7,6,3
,,,,,,,,,,,,,,,,,,,,,,,,
I have absolutely no interest in holding elective office at any time in the future.,2.599999904632568,3,1.428571462631226,2.799999952316284,2.599999904632568,68,Moderate,Moderate,Bachelors Degree,White,1,Male,Lean-Democrat,Independent,1,1,1,1,1,1,1,1,1,1
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,3,1.571428537368774,2.599999904632568,2.400000095367432,73,Somewhat Liberal,Liberal,Graduate Degree,White,4,Male,Democrat,Democrat,0,0,0,0,0,2,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,1,1.25,1.857142925262451,1.799999952316284,1.799999952316284,44,Moderate,Moderate,Some College,White,2,Female,Independent,Independent,8,1,3,1,8,4,2,6,1,1
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,2,1.857142925262451,2.200000047683716,2.599999904632568,58,Very Conservative,Conservative,Some College,White,5,Male,Strong Republican,Republican,10,4,4,5,10,8,5,10,8,8
I have absolutely no interest in holding elective office at any time in the future.,2.599999904632568,2.5,1.428571462631226,2.200000047683716,2.599999904632568,46,Moderate,Moderate,High School,White,1,Female,Independent,Independent,10,9,9,9,8,6,9,6,9,9
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,2,2.142857074737549,3,2,68,Somewhat Conservative,Conservative,Graduate Degree,White,3,Female,Republican,Republican,7,0,0,0,6,0,0,6,2,7
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,2.75,2.142857074737549,2.799999952316284,3,74,Somewhat Conservative,Conservative,High School,White,4,Female,Republican,Republican,6,1,1,1,6,3,1,1,1,4
I have absolutely no interest in holding elective office at any time in the future.,1.599999904632568,1.75,1.714285612106323,2.599999904632568,2,67,Moderate,Moderate,Bachelors Degree,White,8,Female,Strong Democrat,Democrat,3,0,0,0,5,4,0,8,5,3
I have absolutely no interest in holding elective office at any time in the future.,2,2,1.571428537368774,2.599999904632568,2.200000047683716,68,Moderate,Moderate,Some College,White,3,Female,Republican,Republican,2,2,2,2,2,2,2,6,2,2
I have absolutely no interest in holding elective office at any time in the future.,1,1.75,1,1.200000047683716,1,31,Moderate,Moderate,High School,White,1,Male,Independent,Independent,5,5,6,6,5,7,5,5,5,6
I have absolutely no interest in holding elective office at any time in the future.,3,.75,3,2.400000095367432,3,38,Very Conservative,Conservative,High School,White,4,Female,Strong Democrat,Democrat,8,3,5,4,6,8,4,10,4,9
I have absolutely no interest in holding elective office at any time in the future.,1.200000047683716,3,1.142857074737549,2.799999952316284,3,65,Conservative,Conservative,Some College,White,3,Female,Strong Republican,Republican,6,2,5,1,6,8,4,10,8,9
I have absolutely no interest in holding elective office at any time in the future.,.2000000476837158,2.75,.4285714626312256,1.599999904632568,1.200000047683716,52,Moderate,Moderate,High School,White,3,Male,Independent,Independent,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,
I have absolutely no interest in holding elective office at any time in the future.,.7999999523162842,.5,1.714285612106323,2.400000095367432,2.200000047683716,61,Moderate,Moderate,Some College,White,4,Female,Republican,Republican,0,0,0,0,0,0,0,0,0,0
I have absolutely no interest in holding elective office at any time in the future.,1.400000095367432,.75,2.142857074737549,2.400000095367432,3,74,Very Conservative,Conservative,Bachelors Degree,White,2,Female,Strong Democrat,Democrat,1,1,1,1,1,1,1,10,1,1
I have absolutely no interest in holding elective office at any time in the future.,2,1.75,2.285714149475098,2.400000095367432,2.400000095367432,32,Very Liberal,Liberal,Graduate Degree,White,3,Male,Strong Democrat,Democrat,7,6,8,7,6,8,7,6,8,6
I have absolutely no interest in holding elective office at any time in the future.,2.400000095367432,2.25,2.285714149475098,2.400000095367432,2.400000095367432,70,Very Conservative,Conservative,Bachelors Degree,White,4,Male,Independent,Independent,5,3,5,5,5,5,3,5,3,5
I am open to the possibility of holding elective office in the future.,2.599999904632568,2.25,2.714285850524902,2.400000095367432,2.599999904632568,68,Conservative,Conservative,Bachelors Degree,White,4,Male,Lean Republican,Independent,7,10,9,9,10,9,8,9,10,3
I have absolutely no interest in holding elective office at any time in the future.,2.200000047683716,3,1.714285612106323,3,2.799999952316284,55,Very Conservative,Conservative,High School,White,4,Female,Strong Republican,Republican,8,0,0,5,6,8,7,10,8,9
I am open to the possibility of holding elective office in the future.,2.799999952316284,2,2.857142925262451,2.599999904632568,2.200000047683716,63,Conservative,Conservative,Graduate Degree,White,3,Female,Strong Republican,Republican,6,0,4,5,6,8,0,6,5,0
